no,page,title,subtitle,author,price,pages,pub_date,bookcode,url,cover
54,4,영어회화 X 원리 도감,외우지 않는 편안함,이정훈,"18,000",204,2026.07.06,BN004830,https://www.gilbut.co.kr/book/view?bookcode=BN004830,https://gimg.gilbut.co.kr/book/BN004830/rn_view_BN004830.jpg
55,4,AWS 교과서 개정 2판,,"김원일,김석필,서종호","38,000",504,2026.07.02,BN004859,https://www.gilbut.co.kr/book/view?bookcode=BN004859,https://gimg.gilbut.co.kr/book/BN004859/rn_view_BN004859.jpg
56,4,AI 자율학습 AI 에이전트 개발 입문,"LLM, RAG, Tool Use, Function Calling으로 배우는 AI 에이전트 설계와 구현",박경민 초급,"32,000",448,2026.07.01,BN004861,https://www.gilbut.co.kr/book/view?bookcode=BN004861,https://gimg.gilbut.co.kr/book/BN004861/rn_view_BN004861.jpg
57,4,일본어 명카피 핸드북 2,"最初の恋は, 何度してもいい. 첫사랑은 몇 번을 해도 좋다.","정규영,후지이 와카나","18,000",220,2026.07.01,BN004847,https://www.gilbut.co.kr/book/view?bookcode=BN004847,https://gimg.gilbut.co.kr/book/BN004847/rn_view_BN004847.jpg
58,4,그림으로 이해하는 IT 인프라 구조와 기술,"네트워크, 서버, 클라우드, 웹 시스템, 운영, 장애 대응까지 IT 인프라의 전체 지형도를 한 권으로!","츠루나가 신이치,야마모토 나오아키,야마네 다케노부,기타자키 아야치카,김성훈","22,000",332,2026.06.30,BN004866,https://www.gilbut.co.kr/book/view?bookcode=BN004866,https://gimg.gilbut.co.kr/book/BN004866/rn_view_BN004866.jpg
59,4,바이브 엔지니어링,"바이브 코딩을 넘어, AI를 무작정 믿지 않고 제대로 부려먹는 개발자 되는 법",제이 킴,"24,000",312,2026.06.30,BN004853,https://www.gilbut.co.kr/book/view?bookcode=BN004853,https://gimg.gilbut.co.kr/book/BN004853/rn_view_BN004853.jpg
60,4,일본어 일상표현 무작정 따라하기,일본인이 매일 쓰는 행동 • 감정 표현의 모든 것,원어민 일본어 진쌤 초급||중급,"26,000",608,2026.06.30,BN004850,https://www.gilbut.co.kr/book/view?bookcode=BN004850,https://gimg.gilbut.co.kr/book/BN004850/rn_view_BN004850.jpg
61,5,픽셀과 문장 사이 게임 스토리텔링의 기술,,김세정,"34,000",552,2026.06.30,BN004837,https://www.gilbut.co.kr/book/view?bookcode=BN004837,https://gimg.gilbut.co.kr/book/BN004837/rn_view_BN004837.jpg
62,5,무조건 통하는 카피 법칙,당장 카피를 써야 할 때 펼쳐보는 책,"김은혜,야마모토 타쿠마,정규영","19,800",348,2026.06.26,BN004851,https://www.gilbut.co.kr/book/view?bookcode=BN004851,https://gimg.gilbut.co.kr/book/BN004851/rn_view_BN004851.jpg
63,5,미식의 교양,세계 최고의 미식가가 들려주는 맛의 인문학,"하마다 다케후미,장민주","21,000",288,2026.06.24,BN004857,https://www.gilbut.co.kr/book/view?bookcode=BN004857,https://gimg.gilbut.co.kr/book/BN004857/rn_view_BN004857.jpg
64,5,AI 시대에 개발자가 알아야 할 인프라 구성 배포 with 클로드 코드,"자연어로 구축하고 운영하는 AI 네이티브 시대의 첫 인프라 실습서! AI 에이전트, GCP, AWS, Azure, 코덱스 CLI, 제미나이 CLI, 스타트업, 엔터프라이즈, 바이브코딩, GitAIOps, AI 튜터, 가드레일",조훈 입문||초급||중급,"24,000",332,2026.06.19,BN004852,https://www.gilbut.co.kr/book/view?bookcode=BN004852,https://gimg.gilbut.co.kr/book/BN004852/rn_view_BN004852.jpg
65,5,"캔바로 만든 디자인, 돈이 됩니다","기획 및 포트폴리오부터 템플릿, 콘텐츠 판매까지 캔바 앰배서더 리몬이 알려주는",리몬(안형선),"22,000",276,2026.06.19,BN004831,https://www.gilbut.co.kr/book/view?bookcode=BN004831,https://gimg.gilbut.co.kr/book/BN004831/rn_view_BN004831.jpg
66,5,나의 작은 사주 책,타고난 강점을 발견하고 내 삶의 언어를 만드는,구름연못 관계없음||입문,"22,000",424,2026.06.18,BN004846,https://www.gilbut.co.kr/book/view?bookcode=BN004846,https://gimg.gilbut.co.kr/book/BN004846/rn_view_BN004846.jpg
67,5,어른도 아이도 다 잘 먹는 집밥 레시피,두 번 차릴 필요 없이 간단하게,권예은,"22,000",200,2026.06.17,BN004848,https://www.gilbut.co.kr/book/view?bookcode=BN004848,https://gimg.gilbut.co.kr/book/BN004848/rn_view_BN004848.jpg
68,5,결국 부모는 믿어주는 사람,탈대치한 아이가 예일대 전액 장학생이 되기까지,이승철,"18,500",316,2026.06.17,BN004844,https://www.gilbut.co.kr/book/view?bookcode=BN004844,https://gimg.gilbut.co.kr/book/BN004844/rn_view_BN004844.jpg
69,5,회복하는 뇌,노화에 맞서 삶의 주도권을 지키는,"헤더 샌디슨,진영인","22,000",380,2026.06.17,BN004834,https://www.gilbut.co.kr/book/view?bookcode=BN004834,https://gimg.gilbut.co.kr/book/BN004834/rn_view_BN004834.jpg
70,5,영어회화 핵심패턴 233 첫걸음편,기초 동사 10개면 일상대화가 된다!,백선엽 관계없음||입문,"18,000",332,2026.06.15,BN004815,https://www.gilbut.co.kr/book/view?bookcode=BN004815,https://gimg.gilbut.co.kr/book/BN004815/rn_view_BN004815.jpg
71,5,첫걸음부터 발돋움까지 코드 없이 바로 시작하는 Dify,클릭만으로 만드는 나만의 AI 앱 만들기,"이사야마 세이타,김성훈","24,000",286,2026.06.12,BN004843,https://www.gilbut.co.kr/book/view?bookcode=BN004843,https://gimg.gilbut.co.kr/book/BN004843/rn_view_BN004843.jpg
72,5,이렇게 쉬운 오페라는 처음이지?,만화로 읽는 오페라 교양상식 12,"하얀콩,백재은","22,000",344,2026.06.10,BN004835,https://www.gilbut.co.kr/book/view?bookcode=BN004835,https://gimg.gilbut.co.kr/book/BN004835/rn_view_BN004835.jpg
73,5,나도 해볼까? 요즘 코인 투자,"거래소 가입부터 코인 매수·매도, 스테이킹까지 실제 거래소 화면으로 시작하는 실전 코인 투자",조조월드(김규태),"22,000",268,2026.06.10,BN004826,https://www.gilbut.co.kr/book/view?bookcode=BN004826,https://gimg.gilbut.co.kr/book/BN004826/rn_view_BN004826.jpg
74,5,아이디어를 사업으로 키우는 법,,"줄리아 오스틴,고현석","23,500",420,2026.06.03,BN004839,https://www.gilbut.co.kr/book/view?bookcode=BN004839,https://gimg.gilbut.co.kr/book/BN004839/rn_view_BN004839.jpg
75,5,바로 써먹는 주식 부동산 빌드업 투자법,5년 만에 10억 만드는 초효율 투자 전략,조경현(흑자인생) 관계없음||입문||초급||중급,"22,000",348,2026.06.03,BN004825,https://www.gilbut.co.kr/book/view?bookcode=BN004825,https://gimg.gilbut.co.kr/book/BN004825/rn_view_BN004825.jpg
76,6,"디즈니, 픽사 베스트 컬렉션 - OST",국내 최다 50곡 수록!,라이언박(박용호),"26,000",372,2026.06.01,BN004849,https://www.gilbut.co.kr/book/view?bookcode=BN004849,https://gimg.gilbut.co.kr/book/BN004849/rn_view_BN004849.jpg
77,6,2027 시나공 AI-POT AI프롬프트활용능력 1급(2급 포함),,"김현정,이형숙","27,000",264,2026.06.01,BN004832,https://www.gilbut.co.kr/book/view?bookcode=BN004832,https://gimg.gilbut.co.kr/book/BN004832/rn_view_BN004832.jpg
78,6,내가 네 편이 되어줄게,,이리유(이규빈),"19,800",240,2026.05.29,BN004871,https://www.gilbut.co.kr/book/view?bookcode=BN004871,https://gimg.gilbut.co.kr/book/BN004871/rn_view_BN004871.jpg
79,6,한 권에 끝내는 캡스톤 디자인,,오석희 중급,"25,000",352,2026.05.29,BN004819,https://www.gilbut.co.kr/book/view?bookcode=BN004819,https://gimg.gilbut.co.kr/book/BN004819/rn_view_BN004819.jpg
80,6,Node.js + NestJS 교과서,안정적인 AI 서비스를 만들기 위한 Node.js + NestJS 입문서,조현영 초급||중급,"40,000",608,2026.05.27,BN004833,https://www.gilbut.co.kr/book/view?bookcode=BN004833,https://gimg.gilbut.co.kr/book/BN004833/rn_view_BN004833.jpg
81,6,AI가 다 하고 내가 돈 버는 앱 만들기,"AI로 기획, 개발, 배포까지 스토어에서 1위하는 나만의 앱 만들기!",서희찬,"28,000",372,2026.05.27,BN004827,https://www.gilbut.co.kr/book/view?bookcode=BN004827,https://gimg.gilbut.co.kr/book/BN004827/rn_view_BN004827.jpg
82,6,코딩 자율학습 FastAPI 파이썬 백엔드 개발 입문,따라 하면서 배우는 친절한 파이썬 웹 개발,신동현 입문,"28,000",336,2026.05.20,BN004820,https://www.gilbut.co.kr/book/view?bookcode=BN004820,https://gimg.gilbut.co.kr/book/BN004820/rn_view_BN004820.jpg
83,6,명화는 당신을 속이고 있다,위대한 화가 22인이 숨겨둔 심리 지배의 비밀,"안나 가브리엘르,윌리엄 케인,서경의","24,300",360,2026.05.13,BN004818,https://www.gilbut.co.kr/book/view?bookcode=BN004818,https://gimg.gilbut.co.kr/book/BN004818/rn_view_BN004818.jpg
84,6,연금 투자 무작정 따라하기,연금의 기초부터 ISA·IRP 투자 전략까지 한 권에,김성일 관계없음||입문||초급||중급,"24,000",336,2026.05.06,BN004814,https://www.gilbut.co.kr/book/view?bookcode=BN004814,https://gimg.gilbut.co.kr/book/BN004814/rn_view_BN004814.jpg
85,6,매출을 만드는 데이터 분석 with 챗GPT,복잡한 코딩 없이 AI와 함께하는 실전 데이터 분석,조선미 관계없음||입문,"32,000",440,2026.05.04,BN004816,https://www.gilbut.co.kr/book/view?bookcode=BN004816,https://gimg.gilbut.co.kr/book/BN004816/rn_view_BN004816.jpg
